run_id,item_id,batch_label,condition,difficulty,mode,question,a,b,c,d,correct_key,decision,source_alignment,distractor_quality,stem_clarity,difficulty_match,schema_ok,schema_violations,reviewer_schema_ok,reviewer_schema_violations,gen_text_clean,human_edited,seed_doc_path,correct_key_normalized,claude_present,claude_decision,claude_source_alignment,claude_distractor_quality,claude_stem_clarity,claude_difficulty_match_raw,claude_difficulty_match_pass,claude_reviewer_decision,claude_agrees_with_reviewer,claude_flag_ambiguity,claude_chunks_support_question,claude_correct_answer_verifiable,claude_distractors_clearly_wrong,claude_reviewer_source_call_accurate,claude_notes,codex_present,codex_decision,codex_source_alignment,codex_distractor_quality,codex_stem_clarity,codex_difficulty_match_raw,codex_difficulty_match_pass,codex_reviewer_decision,codex_agrees_with_reviewer,codex_flag_ambiguity,codex_chunks_support_question,codex_correct_answer_verifiable,codex_distractors_clearly_wrong,codex_reviewer_source_call_accurate,codex_notes,reviewed_by_any_lane,reviewed_lane_count,reviewed_lanes,dual_review_complete,lane_decision_disagreement,any_ambiguity_flagged
20260330_003121Z_local_local,item_1,local-local,local/local,easy,rag,What is a key benefit of risk pooling in inventory management?,It increases the total safety stock required across all warehouses.,It reduces the need for safety stock by leveraging combined demand variability.,It allows each warehouse to independently manage its own demand fluctuations without additional safety stock.,It eliminates the bullwhip effect entirely.,B,REVISE,5,3,4,True,True,,True,,"question: What is a key benefit of risk pooling in inventory management?

a) It increases the total safety stock required across all warehouses.

b) It reduces the need for safety stock by leveraging combined demand variability.

c) It allows each warehouse to independently manage its own demand fluctuations without additional safety stock.

d) It eliminates the bullwhip effect entirely.

correct_key: B

difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,B,True,REVISE,5,3,4,4,True,REVISE,True,False,True,True,False,True,Chunk 0 perfectly grounds the correct answer B. Option D (eliminates bullwhip) is clearly wrong and easily dismissed; option C is partially misleading — risk pooling does reduce safety stock but doesn't eliminate it — making distractor quality uneven and a REVISE appropriate.,True,REVISE,5,2,5,5,True,REVISE,True,True,True,True,False,False,"Core concept and key are supported, but the distractor set is weak. Option C is partially plausible and Option D is trivially wrong, so the item needs distractor revision rather than source repair.",True,2,"claude,codex",True,False,True
20260330_003121Z_local_local,item_10,local-local,local/local,easy,rag,,"In the capacitated DELS model, an optimal policy always satisfies that at most one of the following can be strictly positive: the beginning inventory I_{t-1}, the unused capacity C_t − y_t, or the order quantity y_t itself.","The ZICO (Zero Inventory or Capacity Order) policy is a theorem stating that any optimal policy in the capacitated DELS model satisfies I_{t-1} · (C_t − y_t) · y_t = 0 for all t = 1, …, T.",A feasible solution to the capacitated DELS model exists if and only if the cumulative capacity is sufficient to meet cumulative demand for every prefix of periods.,The optimal production quantity in the last period with positive production (t = max{j: y_j > 0}) is determined by producing as much as possible up to the remaining demand or the capacity limit.,B,REVISE,5,4,3,True,True,,True,,"question:
a) In the capacitated DELS model, an optimal policy always satisfies that at most one of the following can be strictly positive: the beginning inventory I_{t-1}, the unused capacity C_t − y_t, or the order quantity y_t itself.
b) The ZICO (Zero Inventory or Capacity Order) policy is a theorem stating that any optimal policy in the capacitated DELS model satisfies I_{t-1} · (C_t − y_t) · y_t = 0 for all t = 1, …, T.
c) A feasible solution to the capacitated DELS model exists if and only if the cumulative capacity is sufficient to meet cumulative demand for every prefix of periods.
d) The optimal production quantity in the last period with positive production (t = max{j: y_j > 0}) is determined by producing as much as possible up to the remaining demand or the capacity limit.

correct_key: B
difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,B,True,REJECT,3,3,1,3,False,REVISE,False,True,True,True,False,False,"The question stem is None; options are declarative statements about the capacitated DELS model. While answer B correctly states the ZICO theorem as found in chunk 0, the complete absence of a question stem makes this unusable as an MCQ without a full rewrite.",True,REVISE,5,3,1,4,True,REVISE,True,True,True,True,False,True,"The content is well supported, but the missing stem leaves the task unspecified and more than one option reads as simply true. Revise into a normal single-question MCQ.",True,2,"claude,codex",True,True,True
20260330_003121Z_local_local,item_11,local-local,local/local,easy,rag,What does traditional accounting practices fail to provide according to the context?,Detailed financial reports,Transparency into true costs across different customer segments and channels,Information on inventory levels,Insight into production efficiency,B,REVISE,3,2,4,False,True,,True,,"question: What does traditional accounting practices fail to provide according to the context?

a) Detailed financial reports  
b) Transparency into true costs across different customer segments and channels
c) Information on inventory levels
d) Insight into production efficiency

correct_key: B
difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,B,True,ACCEPT,5,3,4,4,True,REVISE,False,False,True,True,True,True,"Chunk 0 directly states that traditional accounting fails to reveal true costs across customer segments and channels, perfectly grounding answer B. The distractors are plausible for an easy item and the stem is clear; ACCEPT is warranted despite the reviewer's REVISE.",True,ACCEPT,5,3,5,4,True,REVISE,False,False,True,True,True,False,"The source directly supports the keyed answer about lacking cost transparency across customers and channels. The distractors are not great, but the item is still usable as an easy recall question.",True,2,"claude,codex",True,False,False
20260330_003121Z_local_local,item_12,local-local,local/local,easy,rag,,"In the SnowTime Sporting Goods example, what is the marginal profit from selling one additional unit?",What is the marginal cost of a unit that goes unsold in the SnowTime Sporting Goods example?,Which statement best describes the optimal production quantity in a single-period stochastic model according to the context?,The Economic Order Quantity (EOQ) model assumes which of the following?,B|A|C|D,REVISE,3,4,5,True,True,,True,,"question:
a) In the SnowTime Sporting Goods example, what is the marginal profit from selling one additional unit?
b) What is the marginal cost of a unit that goes unsold in the SnowTime Sporting Goods example?
c) Which statement best describes the optimal production quantity in a single-period stochastic model according to the context?
d) The Economic Order Quantity (EOQ) model assumes which of the following?

correct_key: B|A|C|D

difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,MULTI,True,REJECT,2,2,1,2,False,REVISE,False,True,True,False,False,False,Question stem is None with options being independent questions and a multi-part correct key — another garbled generation output that is irreparable without a complete rewrite.,True,REJECT,2,1,1,2,False,REVISE,False,True,False,False,False,False,"Another structurally broken row: no stem, options are separate questions, and the answer key lists multiple letters. Reject and regenerate as a real MCQ.",True,2,"claude,codex",True,False,True
20260330_003121Z_local_local,item_13,local-local,local/local,easy,rag,Which of the following principles about forecasting does NOT apply according to the context?,Forecasts are always perfectly accurate.,"The longer the forecast horizon, the worse the forecast becomes.",Aggregate forecasts are more accurate than disaggregated ones.,Forecasting is inherently wrong.,A,REVISE,1,3,4,False,True,,True,,"question: Which of the following principles about forecasting does NOT apply according to the context?

a) Forecasts are always perfectly accurate.
b) The longer the forecast horizon, the worse the forecast becomes.
c) Aggregate forecasts are more accurate than disaggregated ones.
d) Forecasting is inherently wrong.

correct_key: A
difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,A,True,REVISE,5,4,4,4,True,REVISE,True,False,True,True,True,True,"Chunk clearly states the three forecasting principles, making A (the false statement 'forecasts are always accurate') verifiable. The 'does NOT apply' framing adds cognitive complexity beyond easy level and the near-opposite wording of A vs. the chunk may cause confusion.",True,ACCEPT,5,4,5,4,True,REVISE,False,False,True,True,True,False,The forecasting-principles chunk directly supports the keyed exception. This is easy but valid.,True,2,"claude,codex",True,True,False
20260330_003121Z_local_local,item_14,local-local,local/local,easy,rag,,"In the SnowTime Sporting Goods example, if the production quantity is set to 13,000 units and demand turns out to be exactly 13,000 units, what would be the salvage value of unsold inventory?",What does F'(X) > 0 in the basic model for global operations tradeoffs indicate about the cost function F(X)?,"In the EOQ model, if the order quantity Q is doubled while keeping all other parameters constant, how will the total cost change?",Which of the following statements best describes the optimal production quantity in a single-period stochastic model?,B|C|D|A,REVISE,3,4,4,False,True,,True,,"question:
a) In the SnowTime Sporting Goods example, if the production quantity is set to 13,000 units and demand turns out to be exactly 13,000 units, what would be the salvage value of unsold inventory?
b) What does F'(X) > 0 in the basic model for global operations tradeoffs indicate about the cost function F(X)?
c) In the EOQ model, if the order quantity Q is doubled while keeping all other parameters constant, how will the total cost change?
d) Which of the following statements best describes the optimal production quantity in a single-period stochastic model?

correct_key: B|C|D|A
difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,MULTI,True,REJECT,2,2,1,2,False,REVISE,False,True,True,False,False,False,No question stem; options are separate questions with multi-part correct key — a structurally broken generation artifact requiring full rewrite.,True,REJECT,2,1,1,2,False,REVISE,False,True,False,False,False,False,Malformed multi-question row with no stem and a multi-answer key. Reject rather than patching around the broken structure.,True,2,"claude,codex",True,False,True
20260330_003121Z_local_local,item_15,local-local,local/local,easy,rag,What does the cumulative production Y_k represent in the capacitated shortest path network?,The total demand for all periods up to period k.,The sum of production quantities from period i+1 to period k.,The maximum capacity constraint across all periods up to period k.,The minimum cost of satisfying demands from period i+1 to period k.,B,REVISE,3,2,4,False,True,,True,,"question: What does the cumulative production Y_k represent in the capacitated shortest path network?

a) The total demand for all periods up to period k.
b) The sum of production quantities from period i+1 to period k.
c) The maximum capacity constraint across all periods up to period k.
d) The minimum cost of satisfying demands from period i+1 to period k.

correct_key: B
difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,B,True,REVISE,5,4,4,2,False,REVISE,True,False,True,True,True,True,"Chunk 0 directly defines Y_k as the sum of production quantities from i+1 to k, fully grounding answer B. However, the capacitated shortest-path network concept is distinctly advanced (medium-hard level) making the 'easy' difficulty label a significant mismatch.",True,ACCEPT,5,3,5,4,True,REVISE,False,False,True,True,True,False,The chunk explicitly defines cumulative production Y_k as the sum of production quantities over the relevant periods. Usable as an easy definition item.,True,2,"claude,codex",True,True,False
20260330_003121Z_local_local,item_16,local-local,local/local,easy,rag,Which of the following statements is true about the Economic Order Quantity (EOQ)?,The EOQ formula includes a variable ordering cost per unit.,The EOQ model assumes an infinite planning horizon with constant and deterministic demand.,The EOQ is dependent on the variable ordering cost c.,The EOQ does not account for inventory holding costs.,B,ACCEPT,5,4,5,True,True,,True,,"question: Which of the following statements is true about the Economic Order Quantity (EOQ)?

a) The EOQ formula includes a variable ordering cost per unit.
b) The EOQ model assumes an infinite planning horizon with constant and deterministic demand.
c) The EOQ is dependent on the variable ordering cost c.
d) The EOQ does not account for inventory holding costs.

correct_key: B

difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,B,True,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk explicitly states EOQ assumptions including infinite planning horizon and constant deterministic demand, perfectly grounding B. Distractors are plausible misconceptions for an easy item.",True,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Clean EOQ assumptions item with a directly supported keyed answer.,True,2,"claude,codex",True,False,False
20260330_003121Z_local_local,item_17,local-local,local/local,easy,rag,What is a key difference between supply chain planning systems and execution systems?,"Supply chain planning systems focus on forecasting and optimization, while execution systems manage the flow of products.","Planning systems are used by suppliers, whereas execution systems are used by distributors.","Execution systems can predict future demand, but planning systems cannot.","Planning systems are only for internal processes, while execution systems include external business partners.",A,ACCEPT,5,4,5,True,True,,True,,"question: What is a key difference between supply chain planning systems and execution systems?

a) Supply chain planning systems focus on forecasting and optimization, while execution systems manage the flow of products.

b) Planning systems are used by suppliers, whereas execution systems are used by distributors.

c) Execution systems can predict future demand, but planning systems cannot.

d) Planning systems are only for internal processes, while execution systems include external business partners.

correct_key: A
difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\supplychainmanagement-ppt.pptx,A,True,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk directly distinguishes planning systems (forecasting/optimization) from execution systems (product flow management), perfectly grounding A. All distractors introduce plausible but incorrect distinctions.",True,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Planning versus execution is explained explicitly in the source and the keyed answer is clean.,True,2,"claude,codex",True,False,False
20260330_003121Z_local_local,item_18,local-local,local/local,easy,rag,Which factor is most likely to amplify the bullwhip effect according to the context?,Short lead times,Perfect information sharing among supply chain partners,Many stages in the supply chain,Low demand variability,C,REVISE,3,2,4,False,True,,True,,"question:
Which factor is most likely to amplify the bullwhip effect according to the context?

a) Short lead times  
b) Perfect information sharing among supply chain partners
c) Many stages in the supply chain
d) Low demand variability

correct_key: C
difficulty: easy",False,C:\Users\kadek\source\repos\domainRag\example1\BeerGame.pptx,C,True,REVISE,4,3,4,4,True,REVISE,True,True,True,True,False,True,"Chunks list multiple co-equal causes of the bullwhip effect including many stages, long lead times, and lack of visibility; singling out 'many stages' as the amplifier is defensible but potentially ambiguous since long lead times (option A phrased as short lead times) is also prominent in the chunk. Distractor quality suffers because option B (perfect information) is a bullwhip mitigation, not a neutral or irrelevant choice.",True,ACCEPT,4,3,5,4,True,REVISE,False,False,True,True,True,False,The source names structural features including many stages as amplifiers of the bullwhip effect. The item is simple but valid.,True,2,"claude,codex",True,True,True
